S.No.,Parliament Constituency,Winning Candidate,Total Votes,Margin,State,Party
1,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396,Andaman & Nicobar Islands,Bharatiya Janata Party - BJP
2,Anakapalle(5),C.M.RAMESH,762069,296530,Andhra Pradesh,Bharatiya Janata Party - BJP
3,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139,Andhra Pradesh,Bharatiya Janata Party - BJP
4,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,Andhra Pradesh,Bharatiya Janata Party - BJP
5,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491,Andhra Pradesh,Janasena Party - JnP
6,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179,Andhra Pradesh,Janasena Party - JnP
7,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901,Andhra Pradesh,Telugu Desam - TDP
8,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351,Andhra Pradesh,Telugu Desam - TDP
9,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247,Andhra Pradesh,Telugu Desam - TDP
10,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196,Andhra Pradesh,Telugu Desam - TDP
11,Eluru(10),PUTTA MAHESH KUMAR,746351,181857,Andhra Pradesh,Telugu Desam - TDP
12,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085,Andhra Pradesh,Telugu Desam - TDP
13,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695,Andhra Pradesh,Telugu Desam - TDP
14,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729,Andhra Pradesh,Telugu Desam - TDP
15,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031,Andhra Pradesh,Telugu Desam - TDP
16,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199,Andhra Pradesh,Telugu Desam - TDP
17,Nandyal(17),DR BYREDDY SHABARI,701131,111975,Andhra Pradesh,Telugu Desam - TDP
18,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298,Andhra Pradesh,Telugu Desam - TDP
19,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555,Andhra Pradesh,Telugu Desam - TDP
20,Hindupur(20),B K PARTHASARATHI,725534,132427,Andhra Pradesh,Telugu Desam - TDP
21,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902,Andhra Pradesh,Telugu Desam - TDP
22,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479,Andhra Pradesh,Telugu Desam - TDP
23,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party - YSRCP
24,Kadapa(21),Y. S. AVINASH REDDY,605143,62695,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party - YSRCP
25,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party - YSRCP
26,Rajampet(24),P V MIDHUN REDDY,644844,76071,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party - YSRCP
27,Arunachal West(1),KIREN RIJIJU,205417,100738,Arunachal Pradesh,Bharatiya Janata Party - BJP
28,Arunachal East(2),TAPIR GAO,145581,30421,Arunachal Pradesh,Bharatiya Janata Party - BJP
29,Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351,Assam,Asom Gana Parishad - AGP
30,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012,Assam,Bharatiya Janata Party - BJP
31,Guwahati(5),BIJULI KALITA MEDHI,894887,251090,Assam,Bharatiya Janata Party - BJP
32,Diphu(6),AMARSING TISSO,334620,147603,Assam,Bharatiya Janata Party - BJP
33,Karimganj(7),KRIPANATH MALLAH,545093,18360,Assam,Bharatiya Janata Party - BJP
34,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311,Assam,Bharatiya Janata Party - BJP
35,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947,Assam,Bharatiya Janata Party - BJP
36,Sonitpur(11),RANJIT DUTTA,775788,361408,Assam,Bharatiya Janata Party - BJP
37,Lakhimpur(12),PRADAN BARUAH,663122,201257,Assam,Bharatiya Janata Party - BJP
38,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321,Assam,Bharatiya Janata Party - BJP
39,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476,Assam,Indian National Congress - INC
40,Nagaon(9),PRADYUT BORDOLOI,788850,212231,Assam,Indian National Congress - INC
41,Jorhat(14),GAURAV GOGOI,751771,144393,Assam,Indian National Congress - INC
42,Kokrajhar (1),JOYANTA BASUMATARY,488995,51583,Assam,"United People’s Party, Liberal - UPPL"
