State,Leading Party 1,Leading Seats Won 1,Second Leading Party 1,Second Leading Seats Won 1,Leading Party 2,Leading Seats Won 2,Second Leading Party 2,Second Leading Seats Won 2
Andaman & Nicobar Islands,Bharatiya Janata Party - BJP,1,,,,,,
Andhra Pradesh,Telugu Desam - TDP,16,Yuvajana Sramika Rythu Congress Party - YSRCP,4,,,,
Arunachal Pradesh,Bharatiya Janata Party - BJP,2,,,,,,
Assam,Bharatiya Janata Party - BJP,9,Indian National Congress - INC,3,,,,
Bihar,Bharatiya Janata Party - BJP,12,Lok Janshakti Party(Ram Vilas) - LJPRV,5,Janata Dal (United) - JD(U),12.0,,
Chandigarh,Indian National Congress - INC,1,,,,,,
Chhattisgarh,Bharatiya Janata Party - BJP,10,Indian National Congress - INC,1,,,,
Dadra & Nagar Haveli and Daman & Diu,Bharatiya Janata Party - BJP,1,,,Independent - IND,1.0,,
Goa,Bharatiya Janata Party - BJP,1,,,Indian National Congress - INC,1.0,,
Gujarat,Bharatiya Janata Party - BJP,25,Indian National Congress - INC,1,,,,
Haryana,Bharatiya Janata Party - BJP,5,,,Indian National Congress - INC,5.0,,
Himachal Pradesh,Bharatiya Janata Party - BJP,4,,,,,,
Jammu and Kashmir,Bharatiya Janata Party - BJP,2,Independent - IND,1,Jammu & Kashmir National Conference - JKN,2.0,,
Jharkhand,Bharatiya Janata Party - BJP,8,Jharkhand Mukti Morcha - JMM,3,,,,
Karnataka,Bharatiya Janata Party - BJP,17,Indian National Congress - INC,9,,,,
Kerala,Indian National Congress - INC,14,Indian Union Muslim League - IUML,2,,,,
Ladakh,Independent - IND,1,,,,,,
Lakshadweep,Indian National Congress - INC,1,,,,,,
Madhya Pradesh,Bharatiya Janata Party - BJP,29,,,,,,
Maharashtra,Indian National Congress - INC,13,Bharatiya Janata Party - BJP,9,,,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9.0
Manipur,Indian National Congress - INC,2,,,,,,
Meghalaya,Indian National Congress - INC,1,,,Voice of the People Party - VOTPP,1.0,,
Mizoram,Zoram People’s Movement - ZPM,1,,,,,,
NCT OF Delhi,Bharatiya Janata Party - BJP,7,,,,,,
Nagaland,Indian National Congress - INC,1,,,,,,
Odisha,Bharatiya Janata Party - BJP,20,Indian National Congress - INC,1,,,,
Puducherry,Indian National Congress - INC,1,,,,,,
Punjab,Indian National Congress - INC,7,Aam Aadmi Party - AAAP,3,,,,
Rajasthan,Bharatiya Janata Party - BJP,14,Indian National Congress - INC,8,,,,
Sikkim,Sikkim Krantikari Morcha - SKM,1,,,,,,
Tamil Nadu,Dravida Munnetra Kazhagam - DMK,22,Indian National Congress - INC,9,,,,
Telangana,Bharatiya Janata Party - BJP,8,All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,Indian National Congress - INC,8.0,,
Tripura,Bharatiya Janata Party - BJP,2,,,,,,
Uttar Pradesh,Samajwadi Party - SP,37,Bharatiya Janata Party - BJP,33,,,,
Uttarakhand,Bharatiya Janata Party - BJP,5,,,,,,
West Bengal,All India Trinamool Congress - AITC,29,Bharatiya Janata Party - BJP,12,,,,
