S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901
2,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351
3,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247
4,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196
5,Eluru(10),PUTTA MAHESH KUMAR,746351,181857
6,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085
7,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695
8,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729
9,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031
10,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199
11,Nandyal(17),DR BYREDDY SHABARI,701131,111975
12,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298
13,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555
14,Hindupur(20),B K PARTHASARATHI,725534,132427
15,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902
16,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479
