S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Paschim Champaran(2),DR.SANJAY JAISWAL,580421,136568
2,Purvi Champaran(3),RADHA MOHAN SINGH,542193,88287
3,Madhubani(6),ASHOK KUMAR YADAV,553428,151945
4,Araria(9),PRADEEP KUMAR SINGH,600146,20094
5,Darbhanga(14),GOPAL JEE THAKUR,566630,178156
6,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749,234927
7,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533,102651
8,Saran(20),RAJIV PRATAP RUDY,471752,13661
9,Ujiarpur(22),NITYANAND RAI,515965,60102
10,Begusarai(24),GIRIRAJ SINGH,649331,81480
11,Patna Sahib(30),RAVI SHANKAR PRASAD,588270,153846
12,Nawada(39),VIVEK THAKUR,410608,67670
